id,caracteristica_fisica,metrica_performance,coef_correlacao_pearson,r_quadrado,p_value,significativo_estatisticamente,n_amostras,interpretacao,implicacao_pratica
1,altura,taxa_defesa_global,0.395,0.156,0.058,False,120,Correlação Fraca,Positiva - correlação fraca
2,altura,taxa_defesa_zona_alta,0.558,0.311,0.0577,False,116,Correlação Moderada,Positiva - correlação moderada
3,altura,taxa_defesa_zona_media,-0.156,0.024,0.0999,False,157,Sem Correlação,Negativa - sem correlação
4,altura,taxa_defesa_zona_baixa,-0.274,0.075,0.0712,False,134,Sem Correlação,Negativa - sem correlação
5,altura,eficacia_vs_remates_rapidos,0.565,0.319,0.0024,True,70,Correlação Moderada,Positiva - correlação moderada
6,altura,eficacia_vs_remates_potentes,-0.07,0.005,0.1121,False,138,Sem Correlação,Negativa - sem correlação
7,altura,performance_sob_pressao,0.162,0.026,0.0986,False,100,Sem Correlação,Positiva - sem correlação
8,altura,consistencia_temporal,-0.036,0.001,0.0568,False,149,Sem Correlação,Negativa - sem correlação
9,envergadura,taxa_defesa_global,0.517,0.267,0.0286,True,179,Correlação Moderada,Positiva - correlação moderada
10,envergadura,taxa_defesa_zona_alta,0.416,0.173,0.1347,False,188,Correlação Fraca,Positiva - correlação fraca
11,envergadura,taxa_defesa_zona_media,-0.041,0.002,0.0267,True,81,Sem Correlação,Negativa - sem correlação
12,envergadura,taxa_defesa_zona_baixa,-0.239,0.057,0.0835,False,172,Sem Correlação,Negativa - sem correlação
13,envergadura,eficacia_vs_remates_rapidos,0.279,0.078,0.0386,True,67,Sem Correlação,Positiva - sem correlação
14,envergadura,eficacia_vs_remates_potentes,0.183,0.033,0.0666,False,197,Sem Correlação,Positiva - sem correlação
15,envergadura,performance_sob_pressao,0.107,0.011,0.0267,True,102,Sem Correlação,Positiva - sem correlação
16,envergadura,consistencia_temporal,0.245,0.06,0.0715,False,115,Sem Correlação,Positiva - sem correlação
17,peso,taxa_defesa_global,-0.163,0.027,0.149,False,51,Sem Correlação,Negativa - sem correlação
18,peso,taxa_defesa_zona_alta,0.053,0.003,0.0847,False,84,Sem Correlação,Positiva - sem correlação
19,peso,taxa_defesa_zona_media,0.566,0.321,0.0602,False,134,Correlação Moderada,Positiva - correlação moderada
20,peso,taxa_defesa_zona_baixa,0.228,0.052,0.1492,False,75,Sem Correlação,Positiva - sem correlação
21,peso,eficacia_vs_remates_rapidos,-0.094,0.009,0.0967,False,119,Sem Correlação,Negativa - sem correlação
22,peso,eficacia_vs_remates_potentes,-0.058,0.003,0.1109,False,69,Sem Correlação,Negativa - sem correlação
23,peso,performance_sob_pressao,0.151,0.023,0.0536,False,61,Sem Correlação,Positiva - sem correlação
24,peso,consistencia_temporal,0.543,0.295,0.058,False,84,Correlação Moderada,Positiva - correlação moderada
25,alcance_vertical,taxa_defesa_global,0.323,0.104,0.093,False,107,Correlação Fraca,Positiva - correlação fraca
26,alcance_vertical,taxa_defesa_zona_alta,0.379,0.144,0.1453,False,120,Correlação Fraca,Positiva - correlação fraca
27,alcance_vertical,taxa_defesa_zona_media,0.162,0.026,0.0108,True,166,Sem Correlação,Positiva - sem correlação
28,alcance_vertical,taxa_defesa_zona_baixa,-0.118,0.014,0.0434,True,187,Sem Correlação,Negativa - sem correlação
29,alcance_vertical,eficacia_vs_remates_rapidos,-0.035,0.001,0.0956,False,195,Sem Correlação,Negativa - sem correlação
30,alcance_vertical,eficacia_vs_remates_potentes,0.028,0.001,0.1124,False,157,Sem Correlação,Positiva - sem correlação
31,alcance_vertical,performance_sob_pressao,0.383,0.147,0.1069,False,146,Correlação Fraca,Positiva - correlação fraca
32,alcance_vertical,consistencia_temporal,0.437,0.191,0.0044,True,131,Correlação Fraca,Positiva - correlação fraca
33,velocidade_lateral,taxa_defesa_global,0.341,0.116,0.0977,False,198,Correlação Fraca,Positiva - correlação fraca
34,velocidade_lateral,taxa_defesa_zona_alta,0.672,0.451,0.0203,True,164,Correlação Moderada,Positiva - correlação moderada
35,velocidade_lateral,taxa_defesa_zona_media,0.696,0.484,0.0457,True,135,Correlação Moderada,Positiva - correlação moderada
36,velocidade_lateral,taxa_defesa_zona_baixa,0.717,0.515,0.121,False,143,Correlação Forte,Positiva - correlação forte
37,velocidade_lateral,eficacia_vs_remates_rapidos,0.323,0.104,0.0857,False,149,Correlação Fraca,Positiva - correlação fraca
38,velocidade_lateral,eficacia_vs_remates_potentes,-0.032,0.001,0.0595,False,148,Sem Correlação,Negativa - sem correlação
39,velocidade_lateral,performance_sob_pressao,-0.094,0.009,0.0224,True,61,Sem Correlação,Negativa - sem correlação
40,velocidade_lateral,consistencia_temporal,-0.062,0.004,0.0963,False,73,Sem Correlação,Negativa - sem correlação
