id,jogo_id,zona_baliza_id,zona_baliza_nome,distancia_remate_m,velocidade_remate_kmh,tipo_remate,posicao_ofensiva,minuto_jogo,fase_jogo,tempo_desde_ultima_defesa_s,resultado,diferenca_golos_momento,inferioridade_numerica
1,1,9,Inferior Direita,8.5,115.4,Rectaguarda,Pivot,11,1ºT,153,Defesa,-5,False
2,1,7,Inferior Esquerda,8.5,100.7,Apoio,Pivot,25,1ºT,127,Defesa,1,False
3,1,9,Inferior Direita,6.7,115.9,Penetração,Central,39,2ºT,34,Golo,-2,False
4,1,4,Média Esquerda,9.9,117.2,Rectaguarda,Extremo Direito,53,2ºT,128,Golo,1,False
5,1,8,Inferior Centro,9.4,109.1,Apoio,Lateral Esquerdo,45,2ºT,13,Golo,-5,False
6,1,3,Superior Direita,6.5,88.5,Rectaguarda,Pivot,9,1ºT,105,Golo,-5,False
7,1,2,Superior Centro,8.7,117.7,Penetração,Central,11,1ºT,11,Golo,3,False
8,1,2,Superior Centro,8.6,100.7,Penetração,Extremo Esquerdo,21,1ºT,89,Golo,1,False
9,1,9,Inferior Direita,8.0,104.2,Contra-ataque,Pivot,44,2ºT,177,Golo,1,False
10,1,5,Média Centro,7.6,94.8,Suspensão,Pivot,40,2ºT,165,Defesa,-3,False
11,1,7,Inferior Esquerda,6.9,90.6,Rectaguarda,Pivot,24,1ºT,31,Golo,-5,False
12,1,9,Inferior Direita,7.8,98.9,Suspensão,Extremo Esquerdo,31,2ºT,20,Golo,-1,False
13,1,2,Superior Centro,9.8,97.7,Penetração,Extremo Direito,22,1ºT,124,Golo,3,False
14,1,4,Média Esquerda,7.0,87.9,7 metros,Pivot,26,1ºT,28,Golo,4,False
15,1,7,Inferior Esquerda,9.7,100.7,Suspensão,Central,15,1ºT,124,Golo,1,False
16,1,7,Inferior Esquerda,7.0,105.8,7 metros,Lateral Esquerdo,37,2ºT,7,Defesa,-1,True
17,1,7,Inferior Esquerda,8.5,94.3,Apoio,Central,24,1ºT,80,Golo,1,False
18,1,1,Superior Esquerda,9.0,113.6,Apoio,Extremo Esquerdo,52,2ºT,62,Golo,-1,False
19,1,6,Média Direita,9.4,105.1,Apoio,Lateral Esquerdo,29,1ºT,122,Defesa,5,False
20,1,6,Média Direita,8.1,106.0,Suspensão,Pivot,16,1ºT,176,Golo,5,False
21,1,5,Média Centro,8.7,96.3,Contra-ataque,Lateral Direito,30,1ºT,69,Defesa,1,False
22,1,8,Inferior Centro,9.3,86.4,Apoio,Lateral Direito,31,2ºT,95,Defesa,-3,False
23,1,3,Superior Direita,8.5,87.0,Contra-ataque,Central,59,2ºT,115,Golo,-2,False
24,1,8,Inferior Centro,9.8,93.2,Suspensão,Lateral Esquerdo,43,2ºT,75,Defesa,-2,False
25,1,3,Superior Direita,8.9,100.8,Apoio,Extremo Esquerdo,51,2ºT,101,Golo,0,False
26,1,2,Superior Centro,8.5,105.0,Apoio,Lateral Direito,59,2ºT,54,Defesa,-3,False
27,1,8,Inferior Centro,8.5,88.0,Apoio,Lateral Esquerdo,31,2ºT,133,Defesa,5,False
28,1,1,Superior Esquerda,8.4,97.4,Contra-ataque,Lateral Esquerdo,55,2ºT,101,Golo,-2,False
29,1,5,Média Centro,9.5,109.7,Contra-ataque,Central,34,2ºT,103,Defesa,3,True
30,1,3,Superior Direita,9.3,103.0,Apoio,Extremo Direito,54,2ºT,119,Defesa,0,False
31,1,7,Inferior Esquerda,7.9,95.9,Apoio,Lateral Direito,53,2ºT,57,Defesa,-2,False
32,1,9,Inferior Direita,6.3,93.9,Rectaguarda,Lateral Esquerdo,19,1ºT,38,Defesa,1,False
33,1,5,Média Centro,7.5,106.2,Apoio,Pivot,42,2ºT,97,Golo,5,False
34,1,2,Superior Centro,7.0,107.9,7 metros,Lateral Esquerdo,38,2ºT,102,Defesa,4,False
35,1,5,Média Centro,6.7,91.5,Rectaguarda,Extremo Direito,9,1ºT,42,Defesa,3,False
36,1,5,Média Centro,8.5,101.8,Penetração,Pivot,44,2ºT,71,Golo,3,False
37,1,9,Inferior Direita,8.5,106.2,Contra-ataque,Extremo Direito,12,1ºT,69,Golo,0,False
38,1,3,Superior Direita,8.5,91.1,Contra-ataque,Central,42,2ºT,29,Defesa,1,False
39,1,8,Inferior Centro,10.3,114.0,Contra-ataque,Central,7,1ºT,32,Golo,-2,False
40,1,5,Média Centro,7.0,98.4,7 metros,Pivot,17,1ºT,179,Defesa,5,False
41,1,1,Superior Esquerda,8.2,107.5,Rectaguarda,Extremo Esquerdo,54,2ºT,60,Golo,4,False
42,1,2,Superior Centro,9.5,100.1,Apoio,Pivot,5,1ºT,44,Golo,-3,False
43,1,6,Média Direita,7.4,95.8,Apoio,Lateral Direito,29,1ºT,160,Golo,2,False
44,1,3,Superior Direita,9.1,95.2,Suspensão,Central,17,1ºT,139,Golo,2,False
45,1,4,Média Esquerda,7.0,102.9,7 metros,Central,8,1ºT,141,Defesa,5,False
46,1,1,Superior Esquerda,6.6,93.6,Rectaguarda,Lateral Direito,9,1ºT,58,Golo,0,False
47,1,2,Superior Centro,7.0,96.3,7 metros,Lateral Esquerdo,15,1ºT,136,Defesa,-1,False
48,1,9,Inferior Direita,7.0,90.0,7 metros,Central,52,2ºT,143,Golo,0,False
49,1,3,Superior Direita,7.3,96.4,Suspensão,Extremo Esquerdo,26,1ºT,61,Golo,5,False
50,1,8,Inferior Centro,7.0,99.1,7 metros,Lateral Esquerdo,46,2ºT,143,Golo,-3,False
51,1,3,Superior Direita,6.5,111.0,Penetração,Pivot,41,2ºT,128,Defesa,5,False
52,1,3,Superior Direita,8.4,86.5,Suspensão,Extremo Direito,42,2ºT,48,Golo,1,False
53,1,7,Inferior Esquerda,7.0,91.4,7 metros,Central,2,1ºT,59,Golo,0,False
54,1,1,Superior Esquerda,7.3,93.4,Apoio,Lateral Esquerdo,58,2ºT,10,Golo,-1,False
55,1,9,Inferior Direita,7.0,85.2,7 metros,Pivot,5,1ºT,106,Golo,0,False
56,1,8,Inferior Centro,8.7,93.1,Apoio,Extremo Esquerdo,30,1ºT,83,Defesa,-3,True
57,2,3,Superior Direita,7.0,96.2,7 metros,Lateral Direito,32,2ºT,107,Golo,2,False
58,2,6,Média Direita,7.0,88.5,Rectaguarda,Pivot,59,2ºT,135,Defesa,-4,True
59,2,5,Média Centro,8.2,94.5,Contra-ataque,Extremo Esquerdo,45,2ºT,21,Defesa,4,False
60,2,8,Inferior Centro,9.3,104.0,Suspensão,Extremo Direito,46,2ºT,158,Defesa,-5,False
61,2,4,Média Esquerda,9.6,93.6,Penetração,Pivot,46,2ºT,102,Defesa,0,False
62,2,3,Superior Direita,9.3,111.7,Suspensão,Extremo Direito,37,2ºT,19,Golo,2,True
63,2,5,Média Centro,9.2,114.9,Penetração,Lateral Direito,47,2ºT,100,Defesa,-1,False
64,2,3,Superior Direita,7.3,86.4,Rectaguarda,Extremo Direito,60,2ºT,99,Defesa,0,False
65,2,7,Inferior Esquerda,7.0,94.4,7 metros,Pivot,24,1ºT,177,Golo,0,False
66,2,2,Superior Centro,6.5,109.5,Penetração,Lateral Esquerdo,34,2ºT,174,Defesa,-4,False
