id,guarda_redes_id,cenario,taxa_defesa_atual,taxa_defesa_projetada,impacto_zona_alta_pp,impacto_zona_media_pp,impacto_zona_baixa_pp,golos_evitados_epoca,custo_tipo,custo_valor,tempo_resultados_semanas,probabilidade_sucesso,roi_estimado,prioridade
1,1,Melhorar altura +5cm,60.3,63.3,7.9,1.3,-0.1,45,Programa Especializado,6137,7,0.91,7.33,Alta
2,1,Aumentar velocidade lateral +10%,60.3,63.4,1.9,4.8,2.6,46,Programa Especializado,5674,8,0.81,8.11,Alta
3,1,Reduzir tempo reação -50ms,60.3,65.3,5.6,4.8,4.7,75,Programa Especializado,6900,5,0.93,10.87,Alta
4,1,Aumentar envergadura +5cm,60.3,63.7,7.2,2.8,0.1,50,Programa Especializado,4080,10,0.9,12.25,Alta
5,1,Melhorar agilidade -0.5s T-test,60.3,63.2,1.2,2.9,4.8,44,Programa Especializado,6068,12,0.93,7.25,Alta
6,1,Treino específico zona alta (100h),60.3,62.6,2.2,2.4,2.3,34,Horas Treino,99,16,0.83,6.87,Alta
7,1,Treino específico reflexos (80h),60.3,64.7,3.7,3.9,5.6,66,Horas Treino,60,16,0.77,22.0,Alta
8,1,Reduzir peso -3kg,60.3,62.8,3.5,2.9,1.0,37,Programa Especializado,7661,11,0.95,4.83,Alta
9,1,Aumentar força explosiva +15%,60.3,61.8,2.3,1.1,1.2,23,Programa Especializado,3212,11,0.93,7.16,Alta
10,1,Programa flexibilidade (60h),60.3,62.8,2.2,1.5,4.0,38,Programa Especializado,6083,9,0.61,6.25,Alta
11,2,Melhorar altura +5cm,60.3,63.2,5.8,2.0,0.8,43,Programa Especializado,7608,6,0.76,5.65,Alta
12,2,Aumentar velocidade lateral +10%,60.3,62.4,1.3,3.0,2.1,31,Programa Especializado,7733,13,0.82,4.01,Alta
13,2,Reduzir tempo reação -50ms,60.3,64.4,3.2,5.3,3.8,61,Programa Especializado,7892,11,0.65,7.73,Alta
14,2,Aumentar envergadura +5cm,60.3,63.1,7.7,1.5,-0.9,41,Programa Especializado,3277,10,0.62,12.51,Alta
15,2,Melhorar agilidade -0.5s T-test,60.3,63.3,1.6,2.6,4.8,45,Programa Especializado,3134,15,0.78,14.36,Alta
16,2,Treino específico zona alta (100h),60.3,62.6,1.9,2.9,2.1,35,Horas Treino,96,16,0.83,7.29,Alta
17,2,Treino específico reflexos (80h),60.3,65.1,3.9,5.4,5.1,72,Horas Treino,64,13,0.7,22.5,Alta
18,2,Reduzir peso -3kg,60.3,62.5,1.6,2.5,2.6,33,Programa Especializado,4743,8,0.81,6.96,Alta
19,2,Aumentar força explosiva +15%,60.3,62.7,1.6,2.1,3.7,36,Programa Especializado,4309,6,0.92,8.35,Alta
20,2,Programa flexibilidade (60h),60.3,62.8,2.1,2.5,2.9,37,Programa Especializado,6290,8,0.93,5.88,Alta
21,3,Melhorar altura +5cm,57.8,60.7,6.8,2.6,-0.6,44,Programa Especializado,4664,10,0.75,9.43,Alta
22,3,Aumentar velocidade lateral +10%,57.8,60.9,1.8,4.4,3.2,46,Programa Especializado,4333,8,0.6,10.62,Alta
23,3,Reduzir tempo reação -50ms,57.8,61.8,5.5,3.3,3.3,60,Programa Especializado,7921,14,0.95,7.57,Alta
24,3,Aumentar envergadura +5cm,57.8,60.0,4.5,1.4,0.8,33,Programa Especializado,2174,10,0.79,15.18,Alta
25,3,Melhorar agilidade -0.5s T-test,57.8,60.6,1.4,4.3,2.9,42,Programa Especializado,7786,5,0.95,5.39,Alta
26,3,Treino específico zona alta (100h),57.8,59.5,1.8,1.7,1.5,25,Horas Treino,68,6,0.8,7.35,Alta
27,3,Treino específico reflexos (80h),57.8,61.4,3.0,4.6,3.3,54,Horas Treino,109,13,0.62,9.91,Alta
28,3,Reduzir peso -3kg,57.8,59.3,1.9,1.5,1.1,22,Programa Especializado,7710,8,0.9,2.85,Média
29,3,Aumentar força explosiva +15%,57.8,60.1,3.3,2.4,1.3,34,Programa Especializado,3094,9,0.61,10.99,Alta
30,3,Programa flexibilidade (60h),57.8,60.0,1.1,3.4,2.3,33,Programa Especializado,7710,5,0.76,4.28,Alta
